,Date Filed,City,State,Address,Status,Case Name,Labor Union,Tally Date,Ballot Type,Votes For Union,Votes Against,Num Eligible Voters,Case,lon,lat
80,28-Mar-22,Chicago,IL,"2101 W Armitage Ave, Chicago, Illinois",Unionized,Starbucks Corporation,"Chicago & Midwest Regional Joint Board, Workers United/SEIU",14-Jun-22,Initial,15,1,27,13-RC-293064,-87.6802701,41.9174958
162,12-Apr-22,Chicago,IL,"5964 N Ridge Ave., Chicago, Illinois",Unionized,Starbucks Corporation,Workers United,25-May-22,Initial,20,3,29,13-RC-293883,-87.6716054,41.9902416
5,7-Apr-22,Chicago,IL,"1070 W Bryn Mawr Ave., Chicago, Illinois",Unionized,Starbucks Corporation,Chicago & Midwest Regional Joint Board,25-May-22,Initial,10,1,14,13-RC-293654,-87.6578408,41.9838235
50,3-Jan-22,Chicago,IL,"155 N Wabash, Chicago, Illinois",Voted Failed,Starbucks Corporation,"Chicago and Midwest Regional Joint Board, Workers United/SEIU",7-Jun-22,Initial,6,7,14,13-RC-288328,-87.6260012,41.884729
19,14-Jan-22,Chicago,IL,"1174 E 55th St, Chicago, Illinois",Unionized,Starbucks Corporation,"Chicago and Midwest Regional Joint Board, Workers United/SEIU",7-Jun-22,Initial,5,3,13,13-RC-288994,-87.5967608,41.7952357
108,15-Apr-22,Birmingham,AL,"308 20th Street South, Birmingham, AL",Open,Starbucks Corporation,SEIU Workers United Southern Region,26-May-22,Initial,27,1,33,10-RC-294065,-86.8026003,33.5095668
16,14-Mar-22,Murfreesboro,TN,"1144 Fortress Blvd., Murfreesboro, Tennessee",Voted Failed,Starbucks Corporation,WORKERS UNITED,27-May-22,Initial,12,16,36,10-RC-292155,-86.4630417,35.8653253
89,9-Mar-22,Grand Rapids,MI,"2480 Burton Street, Southeast, Grand Rapids, Michigan",Unionized,Starbucks Corporation,"Chicago and Midwest Regional Joint Board, Workers United, SEIU",13-May-22,Initial,15,3,30,07-RC-291974,-85.6060201,42.9268353
34,16-Mar-22,Louisville,KY,"12911 Factory Lane, Louisville, Kentucky",Unionized,STARBUCKS CORPORATION,"Chicago & Midwest Regional Joint Board, an Affiliate of Workers United SEIU",26-May-22,Initial,19,5,43,09-RC-292370,-85.5107488,38.2892124
92,8-Feb-22,Lansing,MI,"2624 Lake Lansing Road, Lansing, Michigan",Unionized,Starbucks Corporation,Workers United,9-Jun-22,Initial,13,3,37,07-RC-290290,-84.5144359,42.7602987
131,12-Apr-22,Cincinnati,OH,"401 Vine Street, Cincinnati, Ohio",Unionized,STARBUCKS CORPORATION,"Chicago & Midwest Regional Joint Board, an Affiliate of Workers United SEIU",23-Jun-22,Initial,9,1,18,09-RC-293893,-84.5128897,39.1002169
15,9-Mar-22,East Lansing,MI,"1141 East Grand River Avenue, East Lansing, Michigan",Unionized,Starbucks Corporation,"Chicago and Midwest Regional Joint Board, Workers United/SEIU",9-Jun-22,Initial,19,0,29,07-RC-292006,-84.4673269,42.7310394
67,27-Jan-22,Atlanta,GA,"1801 Howell Mill Road NW, Atlanta, Georgia",Unionized,Starbucks Corporation,"Workers United, Southern Regional Joint Board",6-Jun-22,Initial,10,1,26,10-RC-289571,-84.412341,33.8032267
49,2-May-22,Atlanta,GA,1544 Piedmont Rd NE,Unionized,Starbucks Corporation,"Workers United, Southern Regional Joint Board",22-Jun-22,Initial,11,3,16,10-RC-294986,-84.3717014,33.7990622
84,11-Jan-22,Tallahassee,FL,"2264-1 N. Monroe Street, Tallahassee, Florida",Unionized,Starbucks Corporation,WORKERS UNITED,3-May-22,Initial,16,1,35,12-RC-288866,-84.2906286,30.4704568
82,16-Feb-22,Tallahassee,FL,"222 S. Magnolia Drive, Suite 101, Tallahassee, Florida",Voted Failed,Starbucks Corporation,"Workers United, Southern Regional Joint Board a/w Service Employees International Union",25-May-22,Initial,9,15,35,12-RC-290711,-84.2621604,30.4400504
182,14-Mar-22,Knoxville,TN,"7803 Montvue Center Way, Knoxville, TN",Unionized,Starbucks Corporation,"Workers United, Southern Regional Joint Board",26-May-22,Initial,13,4,33,10-RC-292148,-84.042288,35.925819
18,27-Dec-21,Knoxville,TN,"115 Merchant Drive, Knoxville, Tennessee",Unionized,Starbucks Corporation,WORKERS UNITED,5-Apr-22,Initial,8,7,27,10-RC-288098,-83.9710607,36.0106889
111,15-Apr-22,Covington,GA,"3130 Hwy 278 NW, Covington, GA",Voted Failed,Starbucks Corporation,"Workers United, Southern Regional Joint Board",1-Jun-22,Initial,4,18,30,10-RC-294094,-83.8616812,33.603235
22,8-Feb-22,Ann Arbor,MI,"120 S. Zeeb Road, Ann Arbor, Michigan",Unionized,Starbucks Corporation,Workers United,7-Jun-22,Initial,10,2,29,07-RC-290303,-83.8393888,42.286095
102,8-Feb-22,Ann Arbor,MI,"300 S. Main Street, Ann Arbor, Michigan",Unionized,Starbucks Corporation,Workers United,7-Jun-22,Initial,10,3,19,07-RC-290295,-83.7488149,42.2794636
83,8-Feb-22,Ann Arbor,MI,"222 South State Street, Ann Arbor, Michigan",Unionized,Starbucks Corporation,Workers United,7-Jun-22,Initial,15,1,33,07-RC-290304,-83.7410386,42.279541
114,9-Mar-22,Flint,MI,"3243 Miller Road, Flint, Michigan",Unionized,Starbucks Corporation,Workers United,9-Jun-22,Initial,13,6,26,07-RC-291984,-83.7404585,42.9883204
27,8-Feb-22,Ann Arbor,MI,"1214 S. University Avenue, Ann Arbor, Michigan",Voted Failed,Starbucks Corporation,Workers United,7-Jun-22,Initial,10,16,33,07-RC-290313,-83.7338835,42.2747556
125,13-Apr-22,Ann Arbor,MI,"3650 Carpenter Road, Ypsilanti, Michigan",Unionized,Starbucks Corporation,WORKERS UNITED,17-Jun-22,Initial,15,2,38,07-RC-293990,-83.6811703,42.237162
142,31-Jan-22,Ann Arbor,MI,"4585 Washtenaw Avenue, Ann Arbor, Michigan",Unionized,Starbucks Corporation,Workers United,7-Jun-22,Initial,14,0,30,07-RC-289821,-83.6691676,42.2523083
14,31-Jan-22,Grand Blanc,MI,"11355 S. Saginaw Street, Grand Blanc, Michigan",Voted Failed,Starbucks Corporation,Workers United,9-Jun-22,Initial,8,13,26,07-RC-289860,-83.630708,42.928666
186,22-Mar-22,Columbus,OH,"88 E. Broad Street, Columbus, Ohio",Unionized,STARBUCKS CORPORATION,"Chicago & Midwest Regional Joint Board, an Affiliate of Workers United SEIU",24-May-22,Initial,8,4,13,09-RC-292683,-82.998288,39.9628761
156,18-Apr-22,Westerville,OH,"533 S. State Street, Westerville, Ohio",Open,STARBUCKS CORPORATION,"Chicago and Midwest Regional Joint Board, Workers United/SEIU",29-Jun-22,Initial,8,2,32,09-RC-294225,-82.9265117,40.1121769
143,22-Mar-22,Anderson,SC,"4686 Clemson Blvd., Anderson, SC",Unionized,Starbucks Corporation,"Workers United, Southern Regional Joint Board",31-May-22,Initial,18,0,23,10-RC-292644,-82.7152908,34.5806039
165,29-Mar-22,Asheville,NC,"62 Charlotte Street, Asheville, NC",Voted Failed,Starbucks Corporation,WORKERS UNITED,11-May-22,Initial,6,11,23,10-RC-293160,-82.5471085,35.6015869
129,16-Feb-22,Greenville,SC,"3905 Pelham Road, Greenville, SC",Unionized,Starbucks Corporation,"Workers United, Southern Regional Joint Board",16-May-22,Initial,8,1,29,10-RC-290683,-82.2647588,34.8599856
85,10-Mar-22,Augusta,GA,"228 Robert C. Daniel Jr. Pkwy, Augusta, GA",Unionized,Starbucks Corporation,"Workers United, Southern Regional Joint Board",28-Apr-22,Initial,26,5,38,10-RC-292010,-82.0792486,33.4900552
74,22-Mar-22,Estero,FL,"19533 Highland Oaks Dr., Estero, Florida",Open,Starbucks Corporation,"Workers United, Southern Regional Joint Board",6-May-22,Initial,11,21,37,12-RC-292669,-81.7721654,26.4402202
40,10-Jan-22,Cleveland,OH,"1374 West 6th Street, Cleveland Ohio",Unionized,Starbucks Corporation,"Chicago and Midwest Regional Joint Board, Workers United/SEIU",24-May-22,Initial,10,0,22,08-RC-288697,-81.6984645,41.4991541
58,4-Apr-22,Boone,NC,"1700 Blowing Rock Road, Boone, NC",Unionized,Starbucks Corporation,"Workers United, Southern Regional Joint Board",30-Apr-22,Initial,33,2,48,10-RC-293398,-81.6597757,36.1994624
76,24-Feb-22,Jacksonville,FL,"1980 San Marco Blvd., Jacksonville, Florida",Unionized,Starbucks Corporation,"Workers United, Southern Regional Joint Board",10-May-22,Initial,8,1,14,12-RC-291207,-81.6548118,30.3039035
17,16-Feb-22,Jacksonville,FL,"11441 San Jose Blvd., Jacksonville, Florida",Unionized,Starbucks Corporation,"Workers United, Southern Regional Joint Board",10-May-22,Initial,10,7,25,12-RC-290746,-81.6316197,30.1665271
107,24-Mar-22,Oviedo,FL,"305 E Mitchell Hammock Rd, Oviedo, Florida",Unionized,Starbucks Corporation,"Workers United, Southern Regional Joint Board a/w Service Employees International Union",9-Jun-22,Initial,24,6,42,12-RC-292836,-81.2038121,28.6563705
105,16-Mar-22,Columbia,SC,"3009 Millwood Ave., Columbia, South Carolina",Unionized,Starbucks Corporation,"Workers United, Southern Regional Joint Board",26-May-22,Initial,12,0,27,10-RC-292341,-80.997795,34.001686
160,9-Mar-22,Hialeah,FL,"583 W. 49th Street, Hialeah, Florida",Voted Failed,Starbucks Corporation,"Workers United, Southern Regional Joint Board",20-Apr-22,Initial,12,14,37,12-RC-291975,-80.2933869,25.867005
